Stat,0,1,2,3,4,5
+/-,-4.1526348991064319,-0.75482193063799807,-0.28290346279516004,0.18901500504767801,0.75531716645908376,4.0587464413589496
3PA,-0.88548089465224911,-0.88548089465224911,-0.48460432466154763,-0.083727754670846199,0.71802538531055671,5.9294207951896754
3PM,-0.64728533374948982,-0.64728533374948982,-0.64728533374948982,0.19238656544794819,1.0320584646453861,7.7494336582248904
AST,-0.85098966865359138,-0.85098966865359138,-0.42555684173488761,-0.00012401481618382613,0.42530881210251992,7.6576668697204839
BLK,-0.52772944279731671,-0.52772944279731671,-0.52772944279731671,-0.52772944279731671,0.59637850722826236,10.713350057458474
DKPoints,-1.5142258279970664,-0.91109333499560496,-0.38106781084280539,0.13068097109782864,0.8251971751601177,4.7364200085635346
DREB,-1.1525287723733457,-0.78277753758172863,-0.41302630279011143,-0.043275067998494239,0.69622740158474017,5.8727446886673809
FGA,-1.4239645546232984,-0.87711561852964859,-0.33026668243599877,0.034299274959767791,0.76343118975130086,5.1382226785004992
FGM,-1.2020975075506553,-0.85442062536091379,-0.50674374317117243,0.1886100212083103,0.88396378558779309,5.0560863718646898
FTA,-0.77891409652114973,-0.77891409652114973,-0.77891409652114973,-0.067596431642724594,0.64372123323570052,11.313486206412078
FTM,-0.72893827093948405,-0.72893827093948405,-0.72893827093948405,0.15109788547716213,0.59111596368548525,7.6314052150186553
MIN,-2.1178300935465426,-0.88706334174044177,-0.22434278307561809,0.34370341006565935,0.91174960320693677,2.9945856447249541
OREB,-0.72478440547301703,-0.72478440547301703,-0.72478440547301703,0.017084281077836293,0.75895296762868969,7.4357711465863687
PF,-1.2998545315291441,-0.62340565859062336,-0.62340565859062336,0.053043214347897376,0.72949208728641812,2.7588387061019799
PTS,-1.212715028936836,-0.95310293472208596,-0.43387874629258577,0.08534544213691439,0.86418172478116462,5.6670054677540413
REB,-1.1827560584344776,-0.89385686953779386,-0.31605849174442618,-0.027159302847742352,0.83953826384230912,7.1953204195693541
STL,-0.75631014411253372,-0.75631014411253372,-0.75631014411253372,0.26254787645610822,0.26254787645610822,7.394554020436602
TO,-0.94924293817329075,-0.94924293817329075,-0.24614936170703275,-0.24614936170703275,0.45694421475922525,6.7847864029555476
home_team_score,-3.0131963294870507,-0.86426399877472282,-0.23749206898362715,0.21020216658144117,0.83697409637253684,3.0754452741978784
visit_team_score,-2.618140655238788,-0.83863626390648482,-0.33020643781154096,0.26296169263256008,0.94086812742581849,3.3135406492022228
Home,-0.99774533968716395,-0.99774533968716395,-0.99774533968716395,1.0021374688420597,1.0021374688420597,1.0021374688420597
home_win_pct,-1.9853682660166223,-0.60368235560104377,-0.093774460090532696,0.22149117423048245,0.66286306227990321,1.986978726428166
away_win_pct,-1.8672611634874043,-0.85017957684050516,-0.13359936806655351,0.25165880869363572,0.67544280312984339,1.9467947864384678
team_win_pct,-1.9250350112863981,-0.6286464259933543,-0.094839361460924476,0.23561263086867504,0.66774215929968939,1.9641307445927334
opponent_win_pct,-1.9236390142614992,-0.62667965069729992,-0.092637559817923626,0.23795992501216653,0.67027971286689947,1.967239076431099
