Util,PF,PG,SG,SF,F,G,C,TotalPoints
Metta World Peace,Andre Drummond,Paul Millsap,Stephen Curry,Ish Smith,Clint Capela,Manu Ginóbili,Jae Crowder,269.49699999999996
Alec Burks,Alex Len,Blake Griffin,Stephen Curry,Zach LaVine,Nemanja Bjelica,Eric Bledsoe,Andre Iguodala,253.09699999999998
Ish Smith,Dwight Howard,Paul Millsap,Damian Lillard,Zach LaVine,Jerami Grant,Marcus Thornton,Tobias Harris,264.50899999999996
Ian Mahinmi,Dwight Howard,Jared Sullinger,Marcus Smart,Manu Ginóbili,Jae Crowder,Eric Bledsoe,Paul George,254.484
Michael Carter-Williams,Andrew Bogut,Chris Bosh,Stephen Curry,Ramon Sessions,Andre Iguodala,Will Barton,Nicolas Batum,257.205
Ish Smith,Dwight Howard,Paul Millsap,Damian Lillard,Darren Collison,Thabo Sefolosha,Manu Ginóbili,Danilo Gallinari,250.237
Draymond Green,Andrew Bogut,Kevin Love,Stephen Curry,Darren Collison,Omri Casspi,Marco Belinelli,Andre Iguodala,250.26500000000001
J.J. Barea,Andre Drummond,Paul Millsap,Russell Westbrook,Darren Collison,Marcus Thornton,Manu Ginobili,Kent Bazemore,252.49399999999997
Dwight Powell,Brook Lopez,Jon Leuer,Brandon Knight,Lou Williams,Aaron Gordon,Eric Bledsoe,LeBron James,245.81299999999996
Robin Lopez,Al Horford,Paul Millsap,Jeff Teague,Lou Williams,Thabo Sefolosha,James Harden,Trevor Ariza,247.473
Trey Burke,Tim Duncan,Chris Bosh,Russell Westbrook,Darren Collison,Aaron Gordon,Rodney Stuckey,Paul George,250.633
Dwight Howard,Andre Drummond,Paul Millsap,Mo Williams,J.J. Barea,Dwight Powell,Tyreke Evans,Kent Bazemore,252.65699999999998
Mason Plumlee,Greg Monroe,Blake Griffin,Greivis Vasquez,Langston Galloway,Aaron Gordon,James Harden,Tobias Harris,246.117
Jarrett Jack,Andre Drummond,Draymond Green,Russell Westbrook,J.J. Barea,Dwight Powell,Dion Waiters,Willie Reed,247.86700000000002
